reporting_month,reporting_date,brand,file_name,current_flag,erp_status,epm_status,overall_status,epm_delivered_at,erp_delivered_at,latest_run_timestamp,latest_row_count,epm_delivery_days,erp_delivery_days,erp_resolution_minutes,delivery_lifecycle
2026-03-01,2026-03-13,SBT,SBT_INTERNAL,ERP,PASS,PASS,PASS,2026-03-13T22:50:58.870Z,2026-03-13T22:50:58.870Z,2026-04-10T09:50:49.614Z,2,-1,-1,null,ERP_DELIVERED
2026-03-01,2026-03-13,SBT,SBT_SPORTSBOOK,ERP,PASS,PASS,PASS,2026-03-13T22:50:58.870Z,2026-03-13T22:50:58.870Z,2026-04-10T09:50:49.614Z,5540,-1,-1,null,ERP_DELIVERED
2026-03-01,2026-03-13,SBT,SBT_MANUAL,ERP,PASS,PASS,PASS,2026-03-13T22:50:58.870Z,2026-03-13T22:50:58.870Z,2026-04-10T09:50:49.614Z,46,-1,-1,null,ERP_DELIVERED
2026-03-01,2026-03-12,SBT,SBT_WALLET,ERP,PASS,PASS,PASS,2026-03-13T22:50:58.870Z,2026-03-13T22:50:58.870Z,2026-04-10T09:50:49.614Z,171,0,0,null,ERP_DELIVERED
2026-03-01,2026-03-14,SBT,SBT_MANUAL,ERP,PASS,PASS,PASS,2026-03-14T22:50:56.334Z,2026-03-14T22:50:56.334Z,2026-04-10T09:50:49.614Z,62,-1,-1,null,ERP_DELIVERED
2026-03-01,2026-03-16,SBT,SBT_SPORTSBOOK,ERP,PASS,PASS,PASS,2026-03-16T22:50:55.456Z,2026-03-16T22:50:55.456Z,2026-04-10T09:50:49.614Z,5508,-1,-1,null,ERP_DELIVERED
2026-03-01,2026-03-16,SBT,SBT_PAYMENT,ERP,PASS,PASS,PASS,2026-03-16T22:50:55.456Z,2026-03-16T22:50:55.456Z,2026-04-10T09:50:49.614Z,150,-1,-1,null,ERP_DELIVERED
2026-04-01,2026-04-09,SBT,SBT_SPORTSBOOK,ERP,PASS,PASS,PASS,2026-04-09T23:20:52.486Z,2026-04-09T23:20:52.486Z,2026-04-10T09:50:49.614Z,5404,-1,-1,null,ERP_DELIVERED
2026-04-01,2026-04-05,SBT,SBT_SPORTSBOOK,ERP,PASS,PASS,PASS,2026-04-06T22:20:52.571Z,2026-04-06T22:20:52.571Z,2026-04-10T09:50:49.614Z,6520,0,0,null,ERP_DELIVERED
2026-03-01,2026-03-12,SBT,SBT_INTERNAL,ERP,PASS,PASS,PASS,2026-03-12T22:50:57.295Z,2026-03-12T22:50:57.295Z,2026-04-10T09:50:49.614Z,2,-1,-1,null,ERP_DELIVERED
2026-04-01,2026-04-07,SBT,SBT_SPORTSBOOK,ERP,PASS,PASS,PASS,2026-04-07T23:20:54.053Z,2026-04-07T23:20:54.053Z,2026-04-10T09:50:49.614Z,5226,-1,-1,null,ERP_DELIVERED
2026-04-01,2026-04-02,SBT,SBT_SPORTSBOOK,ERP,PASS,PASS,PASS,2026-04-02T22:20:47.939Z,2026-04-02T22:20:47.939Z,2026-04-10T09:50:49.614Z,5722,-1,-1,null,ERP_DELIVERED
